atomic_number,symbol,element,antimatter_symbol,evidence_status,confidence,deviation_class,reference_id,notes
1,H,Hydrogen,overline(H),neutral anti-atom characterized,1.00,none,IUPACatomicnumber; IUPAC113118; Andresen2010; Andresen2011; ALPHA2017; Ahmadi2017Hyperfine; ALPHA2018; ALPHA2020Fine; Baker2021Cooling; Anderson2023; Akbari2025,"Classical position and symbol follow IUPAC. Antihydrogen is produced, trapped, spectroscopically characterized, laser cooled, and gravitationally tested in the cited ALPHA literature."
2,He,Helium,overline(He),antinucleus observed; neutral anti-atom open,0.65,status,IUPACatomicnumber; IUPAC113118; STAR2011; STAR2024,Classical position and symbol follow IUPAC. Antihelium nuclei are observed in the cited STAR literature; neutral antihelium atoms are not established in the cited literature.
45,Rh,Rhodium,overline(Rh),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
46,Pd,Palladium,overline(Pd),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
47,Ag,Silver,overline(Ag),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
48,Cd,Cadmium,overline(Cd),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
49,In,Indium,overline(In),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
50,Sn,Tin,overline(Sn),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
51,Sb,Antimony,overline(Sb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
52,Te,Tellurium,overline(Te),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
53,I,Iodine,overline(I),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
54,Xe,Xenon,overline(Xe),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
55,Cs,Caesium,overline(Cs),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
56,Ba,Barium,overline(Ba),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
57,La,Lanthanum,overline(La),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
58,Ce,Cerium,overline(Ce),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
59,Pr,Praseodymium,overline(Pr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
60,Nd,Neodymium,overline(Nd),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
61,Pm,Promethium,overline(Pm),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
62,Sm,Samarium,overline(Sm),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
63,Eu,Europium,overline(Eu),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
64,Gd,Gadolinium,overline(Gd),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
65,Tb,Terbium,overline(Tb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
66,Dy,Dysprosium,overline(Dy),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
67,Ho,Holmium,overline(Ho),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
68,Er,Erbium,overline(Er),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
69,Tm,Thulium,overline(Tm),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
70,Yb,Ytterbium,overline(Yb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
71,Lu,Lutetium,overline(Lu),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
72,Hf,Hafnium,overline(Hf),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
73,Ta,Tantalum,overline(Ta),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
74,W,Tungsten,overline(W),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
75,Re,Rhenium,overline(Re),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
76,Os,Osmium,overline(Os),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
77,Ir,Iridium,overline(Ir),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
78,Pt,Platinum,overline(Pt),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
79,Au,Gold,overline(Au),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
80,Hg,Mercury,overline(Hg),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
81,Tl,Thallium,overline(Tl),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
82,Pb,Lead,overline(Pb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
83,Bi,Bismuth,overline(Bi),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
84,Po,Polonium,overline(Po),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
85,At,Astatine,overline(At),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
86,Rn,Radon,overline(Rn),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
87,Fr,Francium,overline(Fr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
88,Ra,Radium,overline(Ra),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
89,Ac,Actinium,overline(Ac),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
90,Th,Thorium,overline(Th),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
91,Pa,Protactinium,overline(Pa),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
92,U,Uranium,overline(U),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
93,Np,Neptunium,overline(Np),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
94,Pu,Plutonium,overline(Pu),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
95,Am,Americium,overline(Am),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
96,Cm,Curium,overline(Cm),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
97,Bk,Berkelium,overline(Bk),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
98,Cf,Californium,overline(Cf),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
99,Es,Einsteinium,overline(Es),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
100,Fm,Fermium,overline(Fm),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
101,Md,Mendelevium,overline(Md),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
102,No,Nobelium,overline(No),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
103,Lr,Lawrencium,overline(Lr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
104,Rf,Rutherfordium,overline(Rf),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
